file,commits,lines_added,lines_removed
src/integrations/prefect-aws/LICENSE,1,202,0
src/integrations/prefect-aws/MANIFEST.in,1,9,0
src/integrations/prefect-aws/README.md,2,25,5
src/integrations/prefect-aws/prefect_aws/__init__.py,2,29,2
src/integrations/prefect-aws/prefect_aws/batch.py,5,148,7
src/integrations/prefect-aws/prefect_aws/client_parameters.py,3,174,12
src/integrations/prefect-aws/prefect_aws/client_waiter.py,5,151,11
src/integrations/prefect-aws/prefect_aws/credentials.py,4,318,21
src/integrations/prefect-aws/prefect_aws/deployments/__init__.py,1,0,0
src/integrations/prefect-aws/prefect_aws/deployments/steps.py,3,260,61
src/integrations/prefect-aws/prefect_aws/ecs.py,4,1605,1605
src/integrations/prefect-aws/prefect_aws/experimental/__init__.py,1,0,0
src/integrations/prefect-aws/prefect_aws/experimental/bundles/__init__.py,1,0,0
src/integrations/prefect-aws/prefect_aws/experimental/bundles/execute.py,1,109,0
src/integrations/prefect-aws/prefect_aws/experimental/bundles/types.py,2,8,8
src/integrations/prefect-aws/prefect_aws/experimental/bundles/upload.py,1,97,0
src/integrations/prefect-aws/prefect_aws/glue_job.py,2,192,8
src/integrations/prefect-aws/prefect_aws/lambda_function.py,5,277,28
src/integrations/prefect-aws/prefect_aws/s3.py,9,2704,185
src/integrations/prefect-aws/prefect_aws/secrets_manager.py,7,674,30
src/integrations/prefect-aws/prefect_aws/utilities.py,1,116,0
src/integrations/prefect-aws/prefect_aws/workers/__init__.py,1,3,0
src/integrations/prefect-aws/prefect_aws/workers/ecs_worker.py,8,1873,148
src/integrations/prefect-aws/pyproject.toml,11,139,45
src/integrations/prefect-azure/LICENSE,1,202,0
src/integrations/prefect-azure/MANIFEST.in,1,9,0
src/integrations/prefect-azure/README.md,3,158,5
src/integrations/prefect-azure/prefect_azure/__init__.py,2,24,2
src/integrations/prefect-azure/prefect_azure/blob_storage.py,6,892,136
src/integrations/prefect-azure/prefect_azure/container_instance.py,5,1009,881
src/integrations/prefect-azure/prefect_azure/cosmos_db.py,1,236,0
src/integrations/prefect-azure/prefect_azure/credentials.py,4,616,16
src/integrations/prefect-azure/prefect_azure/deployments/__init__.py,1,0,0
src/integrations/prefect-azure/prefect_azure/deployments/steps.py,3,208,4
src/integrations/prefect-azure/prefect_azure/ml_datastore.py,3,300,8
src/integrations/prefect-azure/prefect_azure/py.typed,1,0,0
src/integrations/prefect-azure/prefect_azure/workers/__init__.py,1,3,0
src/integrations/prefect-azure/prefect_azure/workers/container_instance.py,8,1120,119
src/integrations/prefect-azure/pyproject.toml,15,136,41
src/integrations/prefect-bitbucket/LICENSE,1,202,0
src/integrations/prefect-bitbucket/MANIFEST.in,1,9,0
src/integrations/prefect-bitbucket/README.md,3,151,141
src/integrations/prefect-bitbucket/prefect_bitbucket/__init__.py,1,8,0
src/integrations/prefect-bitbucket/prefect_bitbucket/credentials.py,3,121,12
src/integrations/prefect-bitbucket/prefect_bitbucket/repository.py,2,209,14
src/integrations/prefect-bitbucket/pyproject.toml,10,101,18
src/integrations/prefect-dask/LICENSE,1,202,0
src/integrations/prefect-dask/MANIFEST.in,1,9,0
src/integrations/prefect-dask/README.md,2,260,250
src/integrations/prefect-dask/prefect_dask/__init__.py,3,7,1
src/integrations/prefect-dask/prefect_dask/client.py,4,167,14
src/integrations/prefect-dask/prefect_dask/py.typed,1,1,0
src/integrations/prefect-dask/prefect_dask/task_runners.py,14,729,259
src/integrations/prefect-dask/prefect_dask/utils.py,1,160,0
src/integrations/prefect-dask/pyproject.toml,11,104,15
src/integrations/prefect-databricks/LICENSE,1,202,0
src/integrations/prefect-databricks/MANIFEST.in,1,9,0
src/integrations/prefect-databricks/README.md,2,173,162
src/integrations/prefect-databricks/prefect_databricks/__init__.py,2,4,0
src/integrations/prefect-databricks/prefect_databricks/credentials.py,2,80,7
src/integrations/prefect-databricks/prefect_databricks/flows.py,7,719,17
src/integrations/prefect-databricks/prefect_databricks/jobs.py,3,1978,3
src/integrations/prefect-databricks/prefect_databricks/models/__init__.py,1,0,0
src/integrations/prefect-databricks/prefect_databricks/models/jobs.py,6,4770,392
src/integrations/prefect-databricks/prefect_databricks/rest.py,3,183,16
src/integrations/prefect-databricks/prefect_databricks/schemas/jobs-2.1-aws.yaml,3,4246,1
src/integrations/prefect-databricks/prefect_databricks/schemas/original/jobs-2.1-aws.yaml,2,4185,1
src/integrations/prefect-databricks/pyproject.toml,11,100,21
src/integrations/prefect-dbt/LICENSE,1,202,0
src/integrations/prefect-dbt/MANIFEST.in,1,9,0
src/integrations/prefect-dbt/README.md,3,304,294
src/integrations/prefect-dbt/prefect_dbt/__init__.py,4,69,25
src/integrations/prefect-dbt/prefect_dbt/cli/__init__.py,2,44,0
src/integrations/prefect-dbt/prefect_dbt/cli/commands.py,17,1348,336
src/integrations/prefect-dbt/prefect_dbt/cli/configs/__init__.py,1,16,0
src/integrations/prefect-dbt/prefect_dbt/cli/configs/base.py,6,383,30
src/integrations/prefect-dbt/prefect_dbt/cli/configs/bigquery.py,4,158,9
src/integrations/prefect-dbt/prefect_dbt/cli/configs/postgres.py,4,129,41
src/integrations/prefect-dbt/prefect_dbt/cli/configs/snowflake.py,4,140,7
src/integrations/prefect-dbt/prefect_dbt/cli/credentials.py,4,184,15
src/integrations/prefect-dbt/prefect_dbt/cli/tasks.py,2,179,179
src/integrations/prefect-dbt/prefect_dbt/cloud/__init__.py,1,2,0
src/integrations/prefect-dbt/prefect_dbt/cloud/clients.py,2,237,1
src/integrations/prefect-dbt/prefect_dbt/cloud/credentials.py,3,195,10
src/integrations/prefect-dbt/prefect_dbt/cloud/exceptions.py,1,41,0
src/integrations/prefect-dbt/prefect_dbt/cloud/jobs.py,8,1169,32
src/integrations/prefect-dbt/prefect_dbt/cloud/models.py,2,76,6
src/integrations/prefect-dbt/prefect_dbt/cloud/runs.py,3,306,3
src/integrations/prefect-dbt/prefect_dbt/cloud/utils.py,2,149,0
src/integrations/prefect-dbt/prefect_dbt/core/__init__.py,2,6,2
src/integrations/prefect-dbt/prefect_dbt/core/profiles.py,1,155,0
src/integrations/prefect-dbt/prefect_dbt/core/runner.py,1,487,0
src/integrations/prefect-dbt/prefect_dbt/core/settings.py,1,17,0
src/integrations/prefect-dbt/prefect_dbt/utilities.py,2,41,0
src/integrations/prefect-dbt/pyproject.toml,15,144,37
src/integrations/prefect-docker/LICENSE,1,202,0
src/integrations/prefect-docker/MANIFEST.in,1,9,0
src/integrations/prefect-docker/README.md,4,117,107
src/integrations/prefect-docker/prefect_docker/__init__.py,1,7,0
src/integrations/prefect-docker/prefect_docker/containers.py,2,242,1
src/integrations/prefect-docker/prefect_docker/credentials.py,3,78,8
src/integrations/prefect-docker/prefect_docker/deployments/__init__.py,1,0,0
src/integrations/prefect-docker/prefect_docker/deployments/steps.py,4,375,18
src/integrations/prefect-docker/prefect_docker/host.py,3,125,8
src/integrations/prefect-docker/prefect_docker/images.py,2,87,1
src/integrations/prefect-docker/prefect_docker/types.py,1,54,0
src/integrations/prefect-docker/prefect_docker/worker.py,12,860,119
src/integrations/prefect-docker/pyproject.toml,13,99,18
src/integrations/prefect-email/LICENSE,1,202,0
src/integrations/prefect-email/MANIFEST.in,1,9,0
src/integrations/prefect-email/README.md,3,147,137
src/integrations/prefect-email/prefect_email/__init__.py,1,7,0
src/integrations/prefect-email/prefect_email/credentials.py,4,233,14
src/integrations/prefect-email/prefect_email/message.py,1,121,0
src/integrations/prefect-email/pyproject.toml,10,99,20
src/integrations/prefect-gcp/LICENSE,1,202,0
src/integrations/prefect-gcp/MANIFEST.in,1,9,0
src/integrations/prefect-gcp/README.md,2,28,8
